Nombre;Año;Axis;Diametro;Peso
Silver Cistophorus of Claudius- Ephesus- AD 50 - AD 51. 1944.100.39367 ;AD-50;7;26.5;11.08
Silver Denarius of Hadrian- Rome- AD 125 - AD 128. 1956.127.162 ;AD-125;6;18.0;3.15
Bronze Sestertius of Philip the Arab- Rome- AD 244 - AD 246. 1947.2.308 ;AD-244;12;27.6;12.35
Silver Denarius of Antoninus Pius- Rome- AD 154 - AD 155. 1964.134.9 ;AD-154;6;16.5;3.23
Silver Denarius of Marcus Aurelius- Rome- AD 175 - AD 176. 1956.127.880 ;AD-175;6;18.25;3.56
Silver Drachma- Colophon- 310 B.C. - 301 B.C.. 1952.123.291 ;310-B.C.;12;17.7;4.24
Bronze AE3 of Constantine I- Constantinople- AD 333 - AD 335. 1944.100.9262 ;AD-333;6;18.5;2.8
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.222 ;AD-134;6;17.5;3.48
Bronze As of Pertinax- Rome- AD 193. 1951.61.78 ;AD-193.;12;24.5;10.49
Silver Denarius of Hadrian- Rome- AD 118. 1960.170.224 ;AD-118.;7;17.5;3.54
Bronze AE1 of Diocletian- Antioch- AD 304 - AD 305. 1944.100.4304 ;AD-304;6;26.0;8.63
Silver Denarius of Elagabalus- Rome- AD 218 - AD 222. 1956.127.1268 ;AD-218;1;17.7;2.91
Silver Denarius of Geta- Rome- AD 211. 1955.21.25 ;AD-211.;12;19.0;3.19
Silver Denarius of Hadrian- Rome- AD 118. 1956.127.1726 ;AD-118.;7;18.0;3.08
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 144. 1956.127.721 ;AD-140;2;17.25;3.56
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.1814 ;AD-134;6;18.0;3.49
Silver Antoninianus of Probus- Tripolis- AD 276 - AD 282. 1944.100.36301 ;AD-276;6;22.0;3.95
Silver Denarius of Hadrian- Rome- AD 128 - AD 136. 1944.100.45589 ;AD-128;6;16.0;3.55
Bronze AE1 of Galerius- Serdica- AD 305 - AD 306. 1944.100.4055 ;AD-305;1;26.5;9.57
Bronze AE3 of Constantine I- Constantinople- AD 336 - AD 337. 1944.100.9369 ;AD-336;6;15.5;2.03
Bronze As of Claudius- Rome- AD 50 - AD 54. 1948.19.1049 ;AD-50;6;27.5;11.79
Bronze AE2 of Galerius- Heraclea- AD 309 - AD 310. 1944.100.3972 ;AD-309;6;27.0;6.62
Bronze AE3 of Constantine I- Constantinople- AD 330 - AD 333. 1944.100.9209 ;AD-330;8;18.5;2.22
Bronze AE2 of Maximinus Daia- Antioch- AD 308 - AD 309. 1944.100.4391 ;AD-308;6;23.5;6.42
Silver Denarius of Antoninus Pius- Rome- AD 140 - AD 143. 1956.127.1833 ;AD-140;6;17.5;3.26
Silver Denarius of Marcus Aurelius- Rome- AD 166. 1956.127.1913 ;AD-166.;12;19.5;3.4
Silver Denarius of Trajan- Rome- AD 98 - AD 99. 1957.172.1608 ;AD-98;6;18.0;3.41
Bronze AE2 of Maxentius- Carthage- AD 307. 1944.100.4036 ;AD-307.;12;23.0;6.9
Silver Denarius of Septimius Severus- Laodicea ad Mare- AD 194. 1951.117.27 ;AD-194.;12;17.0;3.04
