Nombre,Fecha,Axis,Diametro,Peso,Anverso,Reverso
Bronze AE3 of Valentinian II- Thessalonica- AD 383 - AD 388. 1948.4.65 ,AD-383,12,17.0,2.56,http://numismatics.org/collectionimages/19001949/1948/1948.4.65.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.4.65.rev.width350.jpg
Bronze Sestertius of Antoninus Pius- Rome- AD 150 - AD 151. 1957.172.1723 ,AD-150,6,34.0,19.52,http://numismatics.org/collectionimages/19501999/1957/1957.172.1723.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1957/1957.172.1723.rev.width350.jpg
Silver Denarius of Domitian- Rome- AD 91. 1944.100.42497 ,AD-91.,6,20.0,3.28,http://numismatics.org/collectionimages/19001949/1944/1944.100.42497.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.42497.rev.width350.jpg
Silver Denarius of Commodus- Rome- AD 178 - AD 191. 1956.127.1240 ,AD-178,6,18.9,2.8,http://numismatics.org/collectionimages/19501999/1956/1956.127.1240.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.1240.rev.width350.jpg
Silver Denarius of Antoninus Pius- Rome- AD 148 - AD 149. 1944.100.48154 ,AD-148,6,17.5,2.9,http://numismatics.org/collectionimages/19001949/1944/1944.100.48154.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.48154.rev.width350.jpg
Bronze AE1 of Diocletian- Antioch- AD 302 - AD 303. 1944.100.4244 ,AD-302,12,27.0,10.52,http://numismatics.org/collectionimages/19001949/1944/1944.100.4244.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.4244.rev.width350.jpg
Silver Drachma- Colophon- 310 B.C. - 301 B.C.. 1956.28.372 ,310-B.C.,1,17.1,4.25,http://numismatics.org/collectionimages/19501999/1956/1956.28.372.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.28.372.rev.width350.jpg
Silver Denarius of Hadrian- Rome- AD 134 - AD 138. 1956.127.237 ,AD-134,6,17.0,3.37,http://numismatics.org/collectionimages/19501999/1956/1956.127.237.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1956/1956.127.237.rev.width350.jpg
Bronze As- Rome- 90 B.C.. 1944.100.900 ,90-B.C..,11,27.0,13.72,http://numismatics.org/collectionimages/19001949/1944/1944.100.900.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.900.rev.width350.jpg
Silver Antoninianus of Diocletian- Antioch- AD 284. 1944.100.38153 ,AD-284.,11,21.5,4.14,http://numismatics.org/collectionimages/19001949/1944/1944.100.38153.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.38153.rev.width350.jpg
Silver Antoninianus of Postumus- Lugdunum- AD 260 - AD 269. 2004.14.169 ,AD-260,2,21.5,3.58,http://numismatics.org/collectionimages/20002049/2004/2004.14.169.obv.width350.jpg,http://numismatics.org/collectionimages/20002049/2004/2004.14.169.rev.width350.jpg
Silver Denarius of Trajan- Rome- AD 98 - AD 99. 1948.19.1125 ,AD-98,6,18.0,3.22,http://numismatics.org/collectionimages/19001949/1948/1948.19.1125.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1948/1948.19.1125.rev.width350.jpg
Silver Denarius of Vespasian- Rome- AD 73. 1944.100.39922 ,AD-73.,12,17.5,3.34,http://numismatics.org/collectionimages/19001949/1944/1944.100.39922.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39922.rev.width350.jpg
Bronze AE3 of Licinius- Cyzicus- AD 317 - AD 320. 1944.100.8716 ,AD-317,12,18.5,3.47,http://numismatics.org/collectionimages/19001949/1944/1944.100.8716.obv.width350.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.8716.rev.width350.jpg
Bronze Dupondius of Vespasian- Rome- AD 75. 1951.61.45 ,AD-75.,6,28.0,12.76,http://numismatics.org/collectionimages/19501999/1951/1951.61.45.obv.width350.jpg,http://numismatics.org/collectionimages/19501999/1951/1951.61.45.rev.width350.jpg
